pi_name,institution,total_projects,total_funding_lakhs,average_grant_lakhs
Prof. Ramakrishnan AngaraiGanesan,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Raghuraman N. Govardhan,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Punit Rathore,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Sunil Chandran Leela,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Prabeer Barpanda,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Venugopal Santhanam,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Sushobhan Avasthi,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Kiran Kumari,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Shayan Srinivasa Garani,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Vishal Singh,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Viveka KonandurRajanna,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Tejas Gorur Murthy,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Mayank Shrivastava,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Radhakant Padhi,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Koushik Viswanathan,Indian Institute of Science Bangalore,1,0.0,0.0
Dr Sundeep Prabhakar Chepuri,Indian Institute of Science Bangalore,1,0.0,0.0
"Supritha S (UG Student)
Dr. Kesavamoorthy R.",CMR Institute of Technology,1,0.0,0.0
Vishwesha Guttal,Indian Institute of Science Bangalore,1,0.0,0.0
AG Ramakrishnan,Indian Institute of Science Bangalore,1,0.0,0.0
Vijay B Shenoy,Indian Institute of Science Bangalore,1,0.0,0.0
Ved V Datar,Indian Institute of Science Bangalore,1,0.0,0.0
Vamsi Pritham Pingali,Indian Institute of Science Bangalore,1,0.0,0.0
Vaibhav Katewa,Indian Institute of Science Bangalore,1,0.0,0.0
Ambedkar Dukkipati,Indian Institute of Science Bangalore,1,0.0,0.0
Bharathwaj Palvannan,Indian Institute of Science Bangalore,1,0.0,0.0
Biplob Bhattacherjee,Indian Institute of Science Bangalore,1,0.0,0.0
Swetha Veeraraghavan,Indian Institute of Science Bangalore,1,0.0,0.0
Chandan Saha,Indian Institute of Science Bangalore,1,0.0,0.0
Dr Aditya Gopalan,Indian Institute of Science Bangalore,1,0.0,0.0
Dr Subho Dasgupta,Indian Institute of Science Bangalore,1,0.0,0.0
Dr Aloke Kumar,Indian Institute of Science Bangalore,1,0.0,0.0
Sudhir Kumar Vempati,Indian Institute of Science Bangalore,1,0.0,0.0
Dr Manish Arora,Indian Institute of Science Bangalore,1,0.0,0.0
Soumyendu Raha,Indian Institute of Science Bangalore,1,0.0,0.0
Dr Mohit Kumar Jolly,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Inder Sarat Gopal,Indian Institute of Science Bangalore,1,0.0,0.0
Dr Pradipta Biswas,Indian Institute of Science Bangalore,1,0.0,0.0
Dr Rupam Bhaduri,Dayananda Sagar College of Engineering,2,0.0,0.0
Dr Sourabh S Diwan,Indian Institute of Science Bangalore,1,0.0,0.0
Rajeev Kumar Jain,Indian Institute of Science Bangalore,1,0.0,0.0
Dr Sriram Ganapathy,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. K J Vinoy,Indian Institute of Science Bangalore,1,0.0,0.0
Mahesh Ramesh Kakde,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Debasish Ghose,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Souradeep Gupta,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Srisha Rao,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Srividya R,CMR Institute of Technology,1,0.0,0.0
Dr. Sudhan Majhi,Indian Institute of Science Bangalore,3,0.0,0.0
Dr. Sudipto Datta,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Tabasum Rasool,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Tapajyoti Dasgupta,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Upendra Behera,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Utsav Banerjee,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Kesavamoorthy R & Dr.Preethi Jacob,CMR Institute of Technology,1,0.0,0.0
Dr. Uttara Kumari M,R V College of Engineering,1,0.0,0.0
Dr. Vaanathi Sundaresan,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Varun Saxena,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Venkatesh M & Dr. Parthasarathy P,CMR Institute of Technology,1,0.0,0.0
Dr. Vishak Chandra,Indian Institute of Science Bangalore,1,0.0,0.0
Dr.  S Arungalai Vendan,Dayananda Sagar College of Engineering,1,0.0,0.0
Dr. Sreetosh Goswami,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Sourabh S. Diwan,Indian Institute of Science Bangalore,1,0.0,0.0
Prof. Bhavana Kanukurthi,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Satyam Suwas,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. MS Suma,B.M.S. College of Engineering,1,0.0,0.0
Dr. Manish Arora,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Niranjan Raj,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Parthasarathy P,CMR Institute of Technology,1,0.0,0.0
Dr. Parthasarathy P & Dr. Venkatesh M,CMR Institute of Technology,1,0.0,0.0
Dr. Prabhakar Venkata,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Praveenkumar K,Indian Institute of Science Bangalore,1,0.0,0.0
"Dr. Preethi Sheba, Dr. V N Manju",CMR Institute of Technology,1,0.0,0.0
Dr. Prem Singh,International Institute of Information Technology Bangalore,1,0.0,0.0
Dr. Prosenjit Das,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Pushpak Jagtap,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Rajesh Chaunsali,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Ramsharan Rangarajan,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Rina Maiti,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Sachin R Rondiya,Indian Institute of Science Bangalore,1,0.0,0.0
Dr. Kausik Majumdar,Indian Institute of Science Bangalore,1,0.0,0.0
Dr.M.Pappa & Dr.M.Venkatesh,CMR Institute of Technology,1,0.0,0.0
Dr.Sharmila K.P & Prof.Sachin,CMR Institute of Technology,1,0.0,0.0
Dr.Sushma B,CMR Institute of Technology,1,0.0,0.0
Dr. Aloke Kumar,Indian Institute of Science Bangalore,1,0.0,0.0
Dr Yogesh Simmhan,Indian Institute of Science Bangalore,1,0.0,0.0
Prasanta Kumar Ghosh,Indian Institute of Science Bangalore,2,0.0,0.0
Prof Chiranjib Bhattacharyya,Indian Institute of Science Bangalore,2,0.0,0.0
Prof Kumar Somasundaram,Indian Institute of Science Bangalore,1,0.0,0.0
Prof Navin Kashyap,Indian Institute of Science Bangalore,1,0.0,0.0
Prof Partha Mondal,Indian Institute of Science Bangalore,1,0.0,0.0
Prof Rajesh Sundaresan,Indian Institute of Science Bangalore,4,0.0,0.0
Prof S Dasappa,Indian Institute of Science Bangalore,1,0.0,0.0
Prof Sai Siva Gorthi,Indian Institute of Science Bangalore,1,0.0,0.0
Prof Saptarshi Basu,Indian Institute of Science Bangalore,1,0.0,0.0
Prof Sashikumaar Ganesan,Indian Institute of Science Bangalore,2,0.0,0.0
Prof Utpal Tatu,Indian Institute of Science Bangalore,1,0.0,0.0
