researcher,institution,domain,publications,citations,research_score,rank
Diptiman Sen,Indian Institute of Science Bangalore,Physics and Theoretical Sciences,24,418,56.36,4
Apoorva Khare,Indian Institute of Science Bangalore,Physics and Theoretical Sciences,26,21,52.42,5
Debasish Ghose,Indian Institute of Science Bangalore,Robotics and Autonomous Systems,56,301,118.02,1
Ashwini Ratnoo,Indian Institute of Science Bangalore,Robotics and Autonomous Systems,40,189,83.78,2
Suresh Sundaram,Indian Institute of Science Bangalore,Robotics and Autonomous Systems,25,152,53.04,3
Ashitava Ghosal,Indian Institute of Science Bangalore,Robotics and Autonomous Systems,16,84,33.68,4
Shalabh Bhatnagar,Indian Institute of Science Bangalore,Robotics and Autonomous Systems,15,151,33.02,5
Mayank Shrivastava,Indian Institute of Science Bangalore,Semiconductors and Nanoelectronics,59,625,130.5,1
Vipin Joshi,Indian Institute of Science Bangalore,Semiconductors and Nanoelectronics,33,293,71.86,2
Rajarshi Roy Chaudhuri,Indian Institute of Science Bangalore,Semiconductors and Nanoelectronics,33,243,70.86,3
B. Subba Reddy,Indian Institute of Science Bangalore,Semiconductors and Nanoelectronics,32,212,68.24,4
Subho Dasgupta,Indian Institute of Science Bangalore,Semiconductors and Nanoelectronics,27,273,59.46,5
Ashish Verma,Indian Institute of Science Bangalore,Smart Cities and Sustainability,13,359,33.18,1
Furqan A. Bhat,Indian Institute of Science Bangalore,Smart Cities and Sustainability,9,247,22.94,2
Varadharajan Sridhar,International Institute of Information Technology Bangalore,Smart Cities and Sustainability,8,29,16.58,3
Nagaraj G. Cholli,R V College of Engineering,Smart Cities and Sustainability,8,2,16.04,4
Mohd Sadiq,Indian Institute of Science Bangalore,Smart Cities and Sustainability,7,57,15.14,5
Kaushik Basu,Indian Institute of Science Bangalore,Smart Energy Systems,36,250,77.0,1
Vishnu Mahadeva Iyer,Indian Institute of Science Bangalore,Smart Energy Systems,32,158,67.16,2
L. Umanand,Indian Institute of Science Bangalore,Smart Energy Systems,30,330,66.6,3
Mayank Shrivastava,Indian Institute of Science Bangalore,Smart Energy Systems,31,125,64.5,4
Vinod John,Indian Institute of Science Bangalore,Smart Energy Systems,30,152,63.04,5
Ashish Verma,Indian Institute of Science Bangalore,Social Computing and Security Analytics,19,54,39.08,1
R. Venkatesh Babu,Indian Institute of Science Bangalore,Social Computing and Security Analytics,15,281,35.62,2
Sravanti Addepalli,Indian Institute of Science Bangalore,Social Computing and Security Analytics,9,123,20.46,3
Anirban Chakraborty,Indian Institute of Science Bangalore,Social Computing and Security Analytics,9,77,19.54,4
Mohana,R V College of Engineering,Social Computing and Security Analytics,8,60,17.2,5
Sriram Ganapathy,Indian Institute of Science Bangalore,Speech and Language Technologies,36,221,76.42,1
Prasanta Ghosh,Indian Institute of Science Bangalore,Speech and Language Technologies,19,91,39.82,2
H. R. Mamatha,PES University,Speech and Language Technologies,17,134,36.68,3
A. G. Ramakrishnan,Indian Institute of Science Bangalore,Speech and Language Technologies,16,97,33.94,4
Dinesh Babu Jayagopi,International Institute of Information Technology Bangalore,Speech and Language Technologies,13,43,26.86,5
Debdeep Sarkar,Indian Institute of Science Bangalore,Wireless Communications and IoT,81,444,170.88,1
A. Chockalingam,Indian Institute of Science Bangalore,Wireless Communications and IoT,52,1560,135.2,2
Chandra R. Murthy,Indian Institute of Science Bangalore,Wireless Communications and IoT,45,311,96.22,3
Sanjeev Gurugopinath,PES University,Wireless Communications and IoT,43,239,90.78,4
Jogesh Chandra Dash,Indian Institute of Science Bangalore,Wireless Communications and IoT,31,300,68.0,5
