rank,researcher,institution,publications,theses,citations,research_score
167,Nirupam Roy,Indian Institute of Science Bangalore,34,0,286,82.3
168,Santosh Hemchandra,Indian Institute of Science Bangalore,35,0,239,81.95
169,Chitra,CMR Institute of Technology,38,0,119,81.95
170,D D Sarma,Indian Institute of Science Bangalore,31,0,397,81.85
171,Giridhar Madras,Indian Institute of Science Bangalore,20,0,833,81.65
172,Prem Singh,International Institute of Information Technology Bangalore,35,0,232,81.6
173,Hegde,CMR Institute of Technology,29,0,465,81.25
174,Pintu Bhunia,Indian Institute of Science Bangalore,35,0,222,81.1
175,Vipin Joshi,Indian Institute of Science Bangalore,33,0,293,80.65
176,R Venkatesh,Indian Institute of Science Bangalore,31,0,369,80.45
177,Javali,CMR Institute of Technology,30,0,409,80.45
178,Sujit Kamilya,Indian Institute of Science Bangalore,29,0,445,80.25
179,Satish Patil,Indian Institute of Science Bangalore,26,0,564,80.2
180,Pavan Nukala,Indian Institute of Science Bangalore,27,0,524,80.2
181,G K Ananthasuresh,Indian Institute of Science Bangalore,33,0,279,79.95
182,Ashok M Raichur,Indian Institute of Science Bangalore,23,0,670,79.5
183,T G Sitharam,Indian Institute of Science Bangalore,35,0,190,79.5
184,Animesh Giri,PES University,38,0,69,79.45
185,Deepak Kumar,Indian Institute of Science Bangalore,28,1,402,79.1
186,Bhaskarjyoti Das,PES University,38,0,60,79.0
187,Santosh,CMR Institute of Technology,36,0,139,78.95
188,Ankit Kumar,Indian Institute of Science Bangalore,23,1,598,78.9
189,Vishal Singh,Indian Institute of Science Bangalore,32,0,295,78.75
190,Arindam Ghosh,Indian Institute of Science Bangalore,29,0,409,78.45
191,Ilango,CMR Institute of Technology,33,0,242,78.1
192,Prasanta Ghosh,Indian Institute of Science Bangalore,35,0,162,78.1
193,Murugendrappa et al,B.M.S. College of Engineering,39,0,0,78.0
194,G Shobha,R V College of Engineering,35,0,153,77.65
195,Sachin Kumar,Indian Institute of Science Bangalore,18,1,771,77.55
196,MN,CMR Institute of Technology,37,0,70,77.5
197,Patil,CMR Institute of Technology,36,0,110,77.5
198,Santanu Mahapatra,Indian Institute of Science Bangalore,28,0,416,76.8
199,Pakkirisamy Thilagar,Indian Institute of Science Bangalore,29,0,373,76.65
200,Sridhar,CMR Institute of Technology,34,0,173,76.65
201,G D Surabhi,Indian Institute of Science Bangalore,8,1,1148,76.4
202,Manjunath Patel Gowdru Chandrashekarappa,PES University,22,0,648,76.4
203,Jaya Prakash,Indian Institute of Science Bangalore,29,0,364,76.2
204,Aninda J Bhattacharyya,Indian Institute of Science Bangalore,28,0,401,76.05
205,N Balakrishnan,Indian Institute of Science Bangalore,33,0,196,75.8
206,Sriraṁ Ramaswamy,Indian Institute of Science Bangalore,27,0,431,75.55
207,Jha,CMR Institute of Technology,32,0,229,75.45
208,Neelamegan Esakkiraja,Indian Institute of Science Bangalore,30,0,306,75.3
209,Priyanka Priyadarshini,Indian Institute of Science Bangalore,20,0,698,74.9
210,Sudipto Datta,Indian Institute of Science Bangalore,30,0,296,74.8
211,V Sarasvathi,PES University,33,0,166,74.3
212,Harish Kumar Choudhary,Indian Institute of Science Bangalore,17,1,745,74.25
213,BS Murty,Indian Institute of Science Bangalore,19,0,723,74.15
214,AR,CMR Institute of Technology,28,0,363,74.15
215,Abhay Gupta,Indian Institute of Science Bangalore,26,1,376,73.8
216,Shubham Sharma,Indian Institute of Science Bangalore,22,2,475,73.75
217,Arungalai S Vendan,Dayananda Sagar College of Engineering,29,0,314,73.7
218,KDV Prasad,International Institute of Information Technology Bangalore,26,0,432,73.6
219,Dinesh Babu Jayagopi,International Institute of Information Technology Bangalore,32,0,190,73.5
220,S S Shylaja,PES University,35,0,66,73.3
221,Basanta Roul,Indian Institute of Science Bangalore,21,0,624,73.2
222,MK,CMR Institute of Technology,33,0,136,72.8
223,Debasish Roy,Indian Institute of Science Bangalore,32,0,167,72.35
224,AM Umarji,Indian Institute of Science Bangalore,24,0,473,71.65
225,Ashish Choudhury,Indian Institute of Science Bangalore,31,0,190,71.5
226,Rudra Pratap,Indian Institute of Science Bangalore,31,0,186,71.3
227,Reddy,CMR Institute of Technology,31,0,186,71.3
228,Babu Rao Ponangi,PES University,32,0,135,70.75
229,KU Yazar,Indian Institute of Science Bangalore,19,0,652,70.6
230,Ananth Govind Rajan,Indian Institute of Science Bangalore,25,0,408,70.4
231,Tarun Kumar,Indian Institute of Science Bangalore,33,1,28,70.4
232,JM Chandra Kishen,Indian Institute of Science Bangalore,27,0,327,70.35
233,Ankur Chauhan,Indian Institute of Science Bangalore,25,0,405,70.25
234,Aloke Paul,Indian Institute of Science Bangalore,28,0,284,70.2
235,Susmita Dash,Indian Institute of Science Bangalore,29,0,242,70.1
236,Jaya Sreevalsan‐Nair,International Institute of Information Technology Bangalore,32,0,116,69.8
237,N Ravishankar,Indian Institute of Science Bangalore,30,0,196,69.8
238,Navin Kashyap,Indian Institute of Science Bangalore,33,0,65,69.25
239,Venkateswaran,CMR Institute of Technology,31,0,145,69.25
240,Digbijoy N Nath,Indian Institute of Science Bangalore,22,0,504,69.2
241,Chethan Krishnan,Indian Institute of Science Bangalore,16,0,725,68.25
242,Srisha M V Rao,Indian Institute of Science Bangalore,26,0,321,68.05
243,Nitish Bibhanshu,Indian Institute of Science Bangalore,22,1,419,67.95
244,Panda,CMR Institute of Technology,31,0,119,67.95
245,Shrisha Rao,International Institute of Information Technology Bangalore,29,0,199,67.95
246,Rajiv Soundararajan,Indian Institute of Science Bangalore,26,0,318,67.9
247,Aditya Sadhanala,Indian Institute of Science Bangalore,12,0,874,67.7
248,Arvind Ayyer,Indian Institute of Science Bangalore,31,0,110,67.5
249,Anand Kumar,Indian Institute of Science Bangalore,28,0,230,67.5
250,Avinash Sharma,International Institute of Information Technology Bangalore,18,0,621,67.05
251,PK,CMR Institute of Technology,27,0,259,66.95
252,Neha Sakhuja,Indian Institute of Science Bangalore,18,1,556,66.8
253,A K Nandakumaran,Indian Institute of Science Bangalore,31,0,95,66.75
254,Viji,CMR Institute of Technology,31,0,95,66.75
255,B S Premananda,R V College of Engineering,30,0,134,66.7
256,Sumit Kumar,Indian Institute of Science Bangalore,20,0,529,66.45
257,Vijay Natarajan,Indian Institute of Science Bangalore,29,0,165,66.25
258,Uttam Kumar,International Institute of Information Technology Bangalore,30,0,121,66.05
259,Seema Patil,B.M.S. College of Engineering,33,0,0,66.0
260,Karthik Kumara et al,B.M.S. College of Engineering,33,0,0,66.0
261,Venkatesh Boddapati,B.M.S. College of Engineering,33,0,0,66.0
262,Kavitha,CMR Institute of Technology,30,0,114,65.7
263,Saurabh Kumar,Indian Institute of Science Bangalore,19,0,549,65.45
264,Venkatesh,CMR Institute of Technology,28,0,188,65.4
265,AV Anupama,Indian Institute of Science Bangalore,15,0,707,65.35
266,D Sahoo,Indian Institute of Science Bangalore,18,0,586,65.3
267,Arti Arya,PES University,29,0,144,65.2
268,Utsab Kundu,Indian Institute of Science Bangalore,31,0,64,65.2
269,Bidisha Nath,Indian Institute of Science Bangalore,28,0,182,65.1
270,Ajay Kumar,Indian Institute of Science Bangalore,19,0,538,64.9
271,Souradeep Gupta,Indian Institute of Science Bangalore,20,0,498,64.9
272,Chandra S Perugu,Indian Institute of Science Bangalore,24,0,335,64.75
273,Lal Krishna AS,Indian Institute of Science Bangalore,30,0,90,64.5
274,Sanyukta Ghosh,Indian Institute of Science Bangalore,21,0,448,64.4
275,T Srinivas,Indian Institute of Science Bangalore,29,0,118,63.9
276,Subhashree Das,Indian Institute of Science Bangalore,19,0,516,63.8
277,V Prasad,Indian Institute of Science Bangalore,24,0,316,63.8
278,Sharmila,CMR Institute of Technology,27,0,190,63.5
279,Tirthankar Bhattacharyya,Indian Institute of Science Bangalore,30,0,70,63.5
280,Syed Shahjahan Ahmad,Indian Institute of Science Bangalore,26,1,168,63.4
281,Ramesh Chandra Mallik,Indian Institute of Science Bangalore,23,0,345,63.25
282,Srinath Srinivasa,International Institute of Information Technology Bangalore,27,0,182,63.1
283,Viraj Kumar,Indian Institute of Science Bangalore,22,0,363,62.15
284,Simranjeet Singh,Indian Institute of Science Bangalore,21,0,402,62.1
285,Sharanappa Chapi,B.M.S. College of Engineering,31,0,0,62.0
286,PS,CMR Institute of Technology,28,0,118,61.9
287,RJ Vikram,Indian Institute of Science Bangalore,20,0,436,61.8
288,C B Sivaparthipan,R V College of Engineering,10,0,831,61.55
289,Bhushan J Toley,Indian Institute of Science Bangalore,25,0,228,61.4
290,Chinmayee Chowde Gowda,Indian Institute of Science Bangalore,17,0,538,60.9
