record_id,source_table,entity_text,entity_label,canonical_name,entity_id,start_char,end_char
684,theses,Civil Engineering,DEPARTMENT,Civil Engineering,CIVIL_ENGINEERING,,
684,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
684,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
685,theses,Electrical Communication Engineering,DEPARTMENT,Electrical Communication Engineering,ELECTRICAL_COMMUNICATION_ENGINEERING,,
685,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
685,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
686,theses,Instrumentaion and Applied Physics,DEPARTMENT,Instrumentaion and Applied Physics,INSTRUMENTAION_AND_APPLIED_PHYSICS,,
686,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
686,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
687,theses,Chemical Engineering,DEPARTMENT,Chemical Engineering,CHEMICAL_ENGINEERING,,
687,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
687,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
688,theses,Centre for Nano Science and Engineering,DEPARTMENT,Centre for Nano Science and Engineering,CENTRE_FOR_NANO_SCIENCE_AND_ENGINEERING,,
688,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
688,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
689,theses,Chemical Engineering,DEPARTMENT,Chemical Engineering,CHEMICAL_ENGINEERING,,
689,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
689,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
690,theses,Interdisciplinary Centre for Energy Research,DEPARTMENT,Interdisciplinary Centre for Energy Research,INTERDISCIPLINARY_CENTRE_FOR_ENERGY_RESEARCH,,
690,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
690,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
691,theses,Electrical Engineering,DEPARTMENT,Electrical Engineering,ELECTRICAL_ENGINEERING,,
691,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
691,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
692,theses,Materials Engineering,DEPARTMENT,Materials Engineering,MATERIALS_ENGINEERING,,
692,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
692,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
694,theses,Robert Bosch Centre for Cyber Physical Systems,DEPARTMENT,Robert Bosch Centre for Cyber Physical Systems,ROBERT_BOSCH_CENTRE_FOR_CYBER_PHYSICAL_SYSTEMS,,
694,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
694,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
695,theses,Materials Engineering,DEPARTMENT,Materials Engineering,MATERIALS_ENGINEERING,,
695,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
695,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
696,theses,Aerospace Engineering,DEPARTMENT,Aerospace Engineering,AEROSPACE_ENGINEERING,,
696,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
696,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
697,theses,physics,DEPARTMENT,Physics,PHYSICS,980,987
697,theses,Materials Engineering,DEPARTMENT,Materials Engineering,MATERIALS_ENGINEERING,,
697,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
697,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
698,theses,physics,DEPARTMENT,Physics,PHYSICS,8,15
698,theses,Civil Engineering,DEPARTMENT,Civil Engineering,CIVIL_ENGINEERING,,
698,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
698,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
699,theses,Computer Science and Automation,DEPARTMENT,Computer Science and Automation,COMPUTER_SCIENCE_AND_AUTOMATION,,
699,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
699,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
700,theses,Civil Engineering,DEPARTMENT,Civil Engineering,CIVIL_ENGINEERING,,
700,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
700,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
701,theses,Civil Engineering,DEPARTMENT,Civil Engineering,CIVIL_ENGINEERING,,
