Publication_ID,Subdomain_ID
PUB_000360,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000361,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000362,MECHANICAL_ENGINEERING
PUB_000363,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000364,ARTIFICIAL_INTELLIGENCE
PUB_000365,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000366,COMPUTATIONAL_THEORY_AND_MATHEMATICS
PUB_000367,MATERIALS_CHEMISTRY
PUB_000368,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000369,POLYMERS_AND_PLASTICS
PUB_000370,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000371,ARTIFICIAL_INTELLIGENCE
PUB_000372,MATERIALS_CHEMISTRY
PUB_000373,BIOMATERIALS
PUB_000374,COMPUTATIONAL_MECHANICS
PUB_000375,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000376,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000377,ASTRONOMY_AND_ASTROPHYSICS
PUB_000378,MATERIALS_CHEMISTRY
PUB_000379,MATERIALS_CHEMISTRY
PUB_000380,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000381,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000382,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000383,MATERIALS_CHEMISTRY
PUB_000384,BIOMEDICAL_ENGINEERING
PUB_000385,MATERIALS_CHEMISTRY
PUB_000386,MECHANICS_OF_MATERIALS
PUB_000387,BIOMEDICAL_ENGINEERING
PUB_000388,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000389,ARTIFICIAL_INTELLIGENCE
PUB_000390,MATERIALS_CHEMISTRY
PUB_000391,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000392,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000393,BIOMEDICAL_ENGINEERING
PUB_000394,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000395,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000396,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000397,MATERIALS_CHEMISTRY
PUB_000398,MATERIALS_CHEMISTRY
PUB_000399,BIOMEDICAL_ENGINEERING
PUB_000400,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000401,COMPUTATIONAL_MECHANICS
PUB_000402,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000403,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000404,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000405,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000406,OCEAN_ENGINEERING
PUB_000407,POLYMERS_AND_PLASTICS
