Institution_ID,Patent_ID
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00122
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00123
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00124
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00125
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00126
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00127
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00128
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00129
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00130
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00131
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00132
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00133
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00134
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00135
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00136
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00137
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00138
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00139
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00140
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00141
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00142
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00143
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00144
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00145
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00146
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00147
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00148
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00149
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00150
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00151
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00152
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00153
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00154
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00155
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00156
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00157
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00158
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00159
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00160
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00161
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00162
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00163
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00164
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00165
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00166
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00167
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00168
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00169
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00170
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00171
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00172
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00173
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00174
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00175
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00176
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00177
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00178
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00179
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00180
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00181
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00182
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00183
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00184
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00185
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00186
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00187
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00188
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00189
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00190
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00191
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00192
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00193
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00194
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00195
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00196
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00197
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00198
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00199
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00200
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00201
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00202
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00203
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00204
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00205
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00206
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00207
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00208
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00209
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00210
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00211
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00212
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00213
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00214
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00215
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00216
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00217
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00218
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00219
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00220
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00221
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00222
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00223
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00224
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00225
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00226
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00227
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00228
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00229
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00230
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00231
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00232
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00233
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00234
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00235
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00236
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00237
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00238
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00239
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00240
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00241
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00242
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00243
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00244
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00245
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00246
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00247
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00248
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00249
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00250
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00251
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00252
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00253
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00254
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00255
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00256
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PAT_00257
