Person_ID,Publication_ID
DIPTIMAN_SEN,PUB_000055
RAJENDRA_KURAPATI,PUB_000056
THOMAS_GROTH,PUB_000056
ASHOK_M_RAICHUR,PUB_000056
SAMBARAN_BANDYOPADHYAY,PUB_000057
N_LOKESH,PUB_000057
M_NARASIMHA_MURTY,PUB_000057
SAURAV_ISLAM,PUB_000058
SHRUTI_SHUKLA,PUB_000058
VIVEK_K_BAJPAI,PUB_000058
YOUNGKYU_HAN,PUB_000058
YUN_SUK_HUH,PUB_000058
NILKAMAL_PRAMANIK,PUB_000059
SANTHALAKSHMI_RANGANATHAN,PUB_000059
SUNAINA_RAO,PUB_000059
KAUSHIK_SUNEET,PUB_000059
SHILPEE_JAIN,PUB_000059
M_SURESH,PUB_000060
AMIT_SHARMA,PUB_000060
AM_MORE,PUB_000060
RAJIB_KALSAR,PUB_000060
ANUJ_BISHT,PUB_000060
ANIRUDHA_KARATI,PUB_000061
M_NAGINI,PUB_000061
SANYUKTA_GHOSH,PUB_000061
RAJASHEKHARA_SHABADI,PUB_000061
KG_PRADEEP,PUB_000061
SUMSUM_P_SUNNY,PUB_000062
ARUN_BABY,PUB_000062
BONNEY_LEE_JAMES,PUB_000062
DEV_BALAJI,PUB_000062
N_V_APARNA,PUB_000062
SUROPRIYA_SAHA,PUB_000063
SRIRAM_RAMASWAMY,PUB_000063
RAMIN_GOLESTANIAN,PUB_000063
XIAOEN_WANG,PUB_000064
GAETAN_M_A_GIRARD,PUB_000064
HAIJIN_ZHU,PUB_000064
RUHAMAH_YUNIS,PUB_000064
DOUGLAS_R_MACFARLANE,PUB_000064
SUHAS_S_JAIN,PUB_000065
NEHA_TYAGI,PUB_000065
RITESH_PRAKASH,PUB_000065
RV_RAVIKRISHNA,PUB_000065
GAURAV_TOMAR,PUB_000065
SOUVIK_GHOSH,PUB_000066
AMBARISH_GHOSH,PUB_000066
SATYAM_SUWAS,PUB_000067
SOUMITA_MONDAL,PUB_000067
SUMAN_CHATTERJEE,PUB_000068
M_SAXENA,PUB_000068
DEEPAK_PADMANABHAN,PUB_000068
MAHESH_JAYACHANDRA,PUB_000068
HARDIK_J_PANDYA,PUB_000068
HARSH_CHAUDHARI,PUB_000069
ASHISH_CHOUDHURY,PUB_000069
ARPITA_PATRA,PUB_000069
AJITH_SURESH,PUB_000069
VIPUL_AGARWAL,PUB_000070
ARPANA_GOPI_PANICKER,PUB_000070
SUSHMA_INDRAKUMAR,PUB_000070
KAUSHIK_CHATTERJEE,PUB_000070
MUKTA_BEHERA,PUB_000071
RAMAKANTA_NAIK,PUB_000071
C_SRIPAN,PUB_000071
RAMAKRISHNAN_GANESAN,PUB_000071
N_C_MISHRA,PUB_000071
PAVAN_C_MADHUSUDANA,PUB_000072
RAJIV_SOUNDARARAJAN,PUB_000072
P_Y_WEN,PUB_000073
KUANTING_LIN,PUB_000073
ANTON_FRISK_KOCKUM,PUB_000073
BALADITYA_SURI,PUB_000073
HOU_IAN,PUB_000073
AHMED_ALIYU,PUB_000074
CHANDAN_SRIVASTAVA,PUB_000074
SOUMITRA_DAS,PUB_000075
BIKRAMJIT_BASU,PUB_000075
SAURABH_KUMAR_SRIVASTAV,PUB_000076
MANAS_RANJAN_SAHU,PUB_000076
KENJI_WATANABE,PUB_000076
