Institution_ID,Grant_ID
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00112
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00113
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00114
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00115
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00116
INTERNATIONAL_INSTITUTE_OF_INFORMATION_TECHNOLOGY_BANGALORE,GRANT_00117
BMS_COLLEGE_OF_ENGINEERING,GRANT_00118
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00119
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00120
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00121
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00122
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00123
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00124
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00125
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00126
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00127
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00128
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00129
DAYANANDA_SAGAR_COLLEGE_OF_ENGINEERING,GRANT_00130
BMS_COLLEGE_OF_ENGINEERING,GRANT_00131
BMS_COLLEGE_OF_ENGINEERING,GRANT_00132
BMS_COLLEGE_OF_ENGINEERING,GRANT_00133
BMS_COLLEGE_OF_ENGINEERING,GRANT_00134
BMS_COLLEGE_OF_ENGINEERING,GRANT_00135
BMS_COLLEGE_OF_ENGINEERING,GRANT_00136
BMS_COLLEGE_OF_ENGINEERING,GRANT_00137
BMS_COLLEGE_OF_ENGINEERING,GRANT_00138
BMS_COLLEGE_OF_ENGINEERING,GRANT_00139
BMS_COLLEGE_OF_ENGINEERING,GRANT_00140
BMS_COLLEGE_OF_ENGINEERING,GRANT_00141
BMS_COLLEGE_OF_ENGINEERING,GRANT_00142
BMS_COLLEGE_OF_ENGINEERING,GRANT_00143
BMS_COLLEGE_OF_ENGINEERING,GRANT_00144
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00145
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00146
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00147
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00148
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00149
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00150
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00151
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00152
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00153
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00154
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00155
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00156
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00157
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00158
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00159
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00160
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00161
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00162
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00163
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00164
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00165
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00166
CMR_INSTITUTE_OF_TECHNOLOGY,GRANT_00167
CMR_INSTITUTE_OF_TECHNOLOGY,GRANT_00168
CMR_INSTITUTE_OF_TECHNOLOGY,GRANT_00169
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00170
R_V_COLLEGE_OF_ENGINEERING,GRANT_00171
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00172
R_V_COLLEGE_OF_ENGINEERING,GRANT_00173
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00174
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00175
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00176
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00177
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00178
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00179
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00180
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00181
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00182
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00183
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00184
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00185
INTERNATIONAL_INSTITUTE_OF_INFORMATION_TECHNOLOGY_BANGALORE,GRANT_00186
INTERNATIONAL_INSTITUTE_OF_INFORMATION_TECHNOLOGY_BANGALORE,GRANT_00187
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00188
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00189
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00190
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00191
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00192
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00193
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00194
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00195
BMS_COLLEGE_OF_ENGINEERING,GRANT_00196
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00197
R_V_COLLEGE_OF_ENGINEERING,GRANT_00198
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00199
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00200
R_V_COLLEGE_OF_ENGINEERING,GRANT_00201
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00202
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00203
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00204
CMR_INSTITUTE_OF_TECHNOLOGY,GRANT_00205
CMR_INSTITUTE_OF_TECHNOLOGY,GRANT_00206
BMS_COLLEGE_OF_ENGINEERING,GRANT_00207
BMS_COLLEGE_OF_ENGINEERING,GRANT_00208
BMS_COLLEGE_OF_ENGINEERING,GRANT_00209
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00210
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00211
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00212
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00213
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00214
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00215
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00216
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00217
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00218
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00219
M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,GRANT_00220
