Person_ID,Thesis_ID
TOLEY_BHUSHAN_J,430428
SRISHA_RAO_M_V_AND_ANAVARDHAM_GANESH_T_K,429847
RAICHUR_ASHOK_M,429852
MUJUMDAR_P_P,429861
CHANAKYA_H_N_AND_DASAPPA_S,429870
SUNDARESAN_RAJESH,429856
KAILAS_SATISH_V,429869
GHOSE_DEBASISH,427799
KUMAR_PRAMOD,427797
MATHEW_JOSEPH,425726
HARI_K_V_S_AND_LEUS_GEERT,427795
TYAGI_HIMANSHU,427793
SAINI_DEEPAK_K_AND_GHOSH_AMBARISH,425779
ARUN_S_P,427791
VINOY_K_J,429832
MODAK_JAYANT_M,429822
RAMASWAMI_SREENIVASAN_AND_CHANAKYA_H_N,431383
GOPE_DIPANJAN,431366
SUNDARESAN_RAJESH,431352
ANANTHANARAYANAN_VAISHNAVI,431381
SRIVASTAVA_CHANDAN,429963
VENKATARAM_PALLAPA_AND_SRINIVAS_T,429206
BASU_SAPTARSHI,426012
BISWAS_PRADIPTA,429217
NOTT_PRABHU_R,429216
SIVAKUMAR_BABU_G_L,429203
DAS_SARASIJ,426066
NANDA_K_K_AND_AVISHANKAR_N,430024
VENKATESH_BABU_R,430017
PRABHAKAR_T_V_AND_KURI_JOY,430033
JAYANTH_G_R,426166
ROY_DEBASISH,426195
SHRIVASTAVA_MAYANK,430040
BALAKRISHNAN_N,427133
SUNDAR_RAJAN_B,427124
SRIVASTAVA_CHANDAN_AND_JHUNJHUNWALA_SIDDHARTH,428802
BASU_BIKRAMJIT,428806
AYAPPA_K_GANAPATHY,427141
SINGH_ABHISHEK_K,429703
SUWAS_SATYAM,428833
MEHTA_NEELESH_B,428815
KUMAR_PRAVEEN,428831
NOTT_PRABHU_R,428810
CHOUDHURY_ABHIK_AND_CHATTOPADHYAY_KAMANIO,428853
CHOUDHURY_ABHIK,428847
RANJAN_RAJEEV,428845
NANDA_K_K,429742
SRINIVAS_T,429762
NANDA_KARUNA_KAR_KRUPANIDHI_SB_AND_RAJAMALLI_P,576534
KUMAR_PRAMOD_AND_SRISHA_RAO_M_V,428960
DUKKIPATI_AMBEDKAR,428963
SHRIVASTAVA_MAYANK,428971
DUTTA_PRADIP,428985
GHOSE_DEBASISH_AND_RATNOO_ASHWINI_AND_RAMADAS_MANIKANTAN,428980
MAJUMDAR_KAUSIK,428988
TOLEY_BHUSHAN_J,429813
KUMAR_JYANT,434398
GARANI_SHAYAN_SRINIVASA,434385
DASGUPTA_SUBHO,434438
GOPALAKRISHNAN_S,434006
SHRIVASTAVA_MAYANK,433970
AYAPPA_K_GANAPATHY,433984
GOPALAKRISHNAN_S,433998
SRIVASTAVA_CHANDAN,433981
SEELAMANTULA_CHANDRA_SEKHAR,433996
GOPALAN_ADITYA,433990
DASGUPTA_SUBHO,434557
KUMAR_PRAMOD,434569
RAMANANDA_CHAKRABARTI,434566
BARPANDA_PRABEER,431341
TALUKDAR_PARTHA_PRATIM,440459
GURURAJA_SUHASINI_AND_KARTIK_V_AND_JOSHI_MAKARAND,440764
HARURSAMPATH_DINESHKUMAR,440763
NARASIMHAN_R,429710
VENKATAPATHI_MURUGESAN,457881
KUMAR_UDAYA,507501
GURURAJA_SUHASINI_AND_VENKATARAMAN_KARTIK,483415
BARMAN_SIDDHARTH,433713
CHATTOPADHYAY_KAMANIO_AND_SUWAS_SATYAM,433715
ANBAZHAGAN_P,433725
BISWAS_PRADIPTA,431394
GHOSH_DEBRAJ,433704
KASHYAP_NAVIN,433718
BASU_BIKRAMJIT,433730
VINOY_K_J,431630
BHATTACHARYYA_ANINDA_JIBAN_AND_SAMPATH_SRINIVASAN,455544
JAYARAM_VIKRAM,455547
KASHYAP_NAVIN,455545
NANDA_K_K_AND_RANA_SUBINOY,454896
SINGH_CHANDRAMANI,454886
KURI_JOY,454922
GOPINATH_K_AND_BASU_ARKAPRAVA,454921
MURTHY_CHANDRA_R,455161
MURTHY_CHANDRA_R_AND_MURALIKRISHNA_P,455158
RANGARAJAN_RAMSHARAN,444746
BHATNAGAR_SHALABH,444735
GOPE_DIPANJAN_AND_BHARATH_KRISHNA,455232
AGARWAL_RACHIT,455225
BOSE_SURYASARATHI,455235
BOSE_SURYASARATHI_AND_SAMANTARA_LAXMI,455226
SUNDARAM_NARAYAN_K,455207
SIVAKUMAR_BABU_G_L,455195
GOPAKUMAR_K,455123
RAGHUNATHAN_VARUN,455127
AGARWAL_RACHIT,455130
GURURAJA_SUHASINI,455133
PINJARI_ABDUL_RAWOOF,455134
GURUMOORTHY_B_AND_CHRISTIE_LATHA,455132
MATHEW_JOSEPH_AND_SAMANTA_ARNAB,455136
SAHA_CHANDAN,455145
GOPAKUMAR_K,455124
PINJARI_ABDUL_RAWOOF,455128
MUJUMDAR_P_P,455146
CHAUDHURY_KUNAL_NARAYAN,455142
SRINIVAS_V_V,455144
SUNDARESAN_RAJESH_AND_AMRUTUR_BHARADWAJ,455143
SIVAKUMAR_BABU_G_L,455219
SITHARAM_T_G_AND_MADHAVI_LATHA_G,455234
SHRIVASTAVA_MAYANK,455231
GHOSE_DEBASISH,455233
MAHAPATRA_SANTANU,455237
MEHTA_NEELESH_B,455310
GOPAKUMAR_K_AND_UMANAND_L,455291
JHUNJHUNWALA_SIDDHARTH,455279
SIVAKUMAR_D,455298
OMKAR_S_N,455299
PAL_DEBNATH,455286
BARPANDA_PRABEER,455311
PRABHAKAR_T_V,455300
CHAUDHURY_KUNAL_NARAYAN,455309
BALAKRISHNAN_N,455276
HARITSA_JAYANT_R,455274
KUMAR_PRAVEEN,455308
SATISH_L_AND_KUMAR_UDAYA,455278
SEN_DIBAKAR,454889
KUMAR_P_VIJAY,575847
SUNDARESAN_RAJESH,454867
RAHA_SOUMYENDU,455184
SEN_DIBAKAR,455186
MUKHERJI_UTPAL,453927
BASU_BIKRAMJIT,453923
RAGHUNATHAN_VARUN,453931
YALAVARTHY_PHANEENDRA_K,453922
SHRIVASTAVA_MAYANK,453933
KAILAS_SATISH_V,453925
SHRIVASTAVA_MAYANK,453916
DINESH_N_S,453924
ANANTHASURESH_G_K,453935
RAMAKRISHNAN_A_G,453928
SRINIVAS_V_V,453915
TALUKDAR_PARTHA_PRATIM_AND_MITCHELL_TOM,453920
ROY_RAHUL,453917
GUNDIAH_NAMRATA,453930
CHAUDHURY_KUNAL_NARAYAN,453919
D_SOUZA_DEEPAK,453926
GHOSE_DEBASISH_AND_OMKAR_S_N,454108
GURRALA_GURUNATH,454127
ARORA_MANISH,454097
RAJAN_N_K_S,454100
RAMESH_O_N,454114
SRINIVAS_V_V,454145
KAILAS_SATISH_V,454098
