Agency_ID,Grant_ID
ALL_INDIA_COUNCIL_FOR_TECHNICAL_EDUCATION,GRANT_00198
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY,GRANT_00199
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY,GRANT_00200
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY,GRANT_00201
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY,GRANT_00202
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY,GRANT_00203
MINISTRY_OF_POWER,GRANT_00204
AICTE_GOC,GRANT_00205
AICTE_STTP,GRANT_00206
VGST,GRANT_00207
AICTE,GRANT_00208
VGST,GRANT_00209
DST,GRANT_00215
31082021,GRANT_00220
SAARCI_AUTOMATION_SOLUTIONS_PRIVATE_LIMITED,GRANT_00230
VGST,GRANT_00231
KALPAVRUKSHA_TRAVEL_SOLUTIONS,GRANT_00232
INDIAN_SERVERS_PVT_LTD,GRANT_00233
PROCOM_ENTERPRISES_PVT_LTD,GRANT_00234
AICTE_MHRD_IIC_POC_CONTEST_WINNER_GOVERNMENT_OF_INDIA,GRANT_00235
VTU_FINANCIAL_ASSISTANCE_FOR_INNOVATIVE_PROJECTS,GRANT_00236
VTU_FINANCIAL_ASSISTANCE_FOR_INNOVATIVE_PROJECTS,GRANT_00237
VTU_FINANCIAL_ASSISTANCE_FOR_INNOVATIVE_PROJECTS,GRANT_00238
VTU_FINANCIAL_ASSISTANCE_FOR_INNOVATIVE_PROJECTS,GRANT_00239
VTU_FINANCIAL_ASSISTANCE_FOR_INNOVATIVE_PROJECTS,GRANT_00240
VTU_FINANCIAL_ASSISTANCE_FOR_INNOVATIVE_PROJECTS,GRANT_00241
VTU_FINANCIAL_ASSISTANCE_FOR_INNOVATIVE_PROJECTS,GRANT_00242
VTU_FINANCIAL_ASSISTANCE_FOR_INNOVATIVE_PROJECTS,GRANT_00243
DSTWOSB,GRANT_00244
FINPINAENIAS,GRANT_00245
ATAL_FDP_AICTE,GRANT_00246
ATALFDP,GRANT_00247
KARNATAKA_STATE_COUNCIL_FOR_SCIENCE_AND_TECHNOLOGYKSCST_FOR_STUDENTS_PROJECT,GRANT_00248
UBA,GRANT_00249
KARNATAKA_STATE_COUNCIL_FOR_SCIENCE_AND_TECHNOLOGYKSCST_FOR_STUDENTS_PROJECT,GRANT_00250
KSCST,GRANT_00251
AICTE,GRANT_00252
VGST,GRANT_00253
PVT_FUND,GRANT_00254
GIAN,GRANT_00255
DSTTIH,GRANT_00256
DSTTIH,GRANT_00257
VGST,GRANT_00258
ANRF,GRANT_00259
KARNATAKA_STATE_GOVT,GRANT_00261
KARNATAKA_STATE_GOVT,GRANT_00262
KARNATAKA_STATE_GOVT,GRANT_00263
VGST_KSTEPS_GOK,GRANT_00264
VTURESEARCH_GRANT_SCHEME,GRANT_00265
ANRF,GRANT_00266
KSCST,GRANT_00267
KSCST,GRANT_00268
IIT_ROORKEE_UNDER_MNRE,GRANT_00269
IFERP_Â_INNOVATIVE_PROJECT_SEED_FUNDING,GRANT_00270
FINPINAENIAS,GRANT_00271
FINPINAENIAS,GRANT_00272
WIPRO_INTERDISCIPLINARY_COLLEGE_PROJECT,GRANT_00273
DST,GRANT_00274
KSCST,GRANT_00275
PVT_FUND,GRANT_00276
AICTE,GRANT_00277
AICTE,GRANT_00278
GOIMINISTRY_OF_ELECTRONIC_INFORMATIN_TECHNOLOGY_MEIT_Y,GRANT_00279
PVT,GRANT_00280
ANRF,GRANT_00281
ANRF,GRANT_00282
AICTE,GRANT_00283
PVT_FUND,GRANT_00284
IIS,GRANT_00285
PVT_FUND,GRANT_00286
ANRF,GRANT_00287
DST,GRANT_00288
MSME,GRANT_00289
STATE_GOVT,GRANT_00290
KSCST_DST_GOK,GRANT_00291
KSCST_DST_GOK,GRANT_00292
AICTE,GRANT_00293
AICTE_ATALFDP,GRANT_00294
AICTE_ATALFDP,GRANT_00295
ANRF,GRANT_00296
AICTE_ATALFDP,GRANT_00297
DST,GRANT_00298
KSCST_STUDENT_PROJECT_PROGRAMME,GRANT_00299
KSCST_STUDENT_PROJECT_PROGRAMME,GRANT_00300
AICTE,GRANT_00301
AICTE,GRANT_00302
AICTE,GRANT_00303
ANRF,GRANT_00304
PVT_GRANTS,GRANT_00305
PVT_GRANTS,GRANT_00306
ERIPR_GOVT_OF_INDIA,GRANT_00307
MSME,GRANT_00308
UBA,GRANT_00309
KSCST,GRANT_00310
ANRF,GRANT_00311
KSCST,GRANT_00312
UBA,GRANT_00313
UBA,GRANT_00314
UBA,GRANT_00315
UBA,GRANT_00316
UBA,GRANT_00317
UBA,GRANT_00318
AICTE,GRANT_00319
MINISTRY_OF_MSME_GOVERNMENT_OF_INDIA,GRANT_00320
MINISTRY_OF_MSME_GOVERNMENT_OF_INDIA,GRANT_00321
MINISTRY_OF_MSME_GOVERNMENT_OF_INDIA,GRANT_00322
MINISTRY_OF_MSME_GOVERNMENT_OF_INDIA,GRANT_00323
DST_LINK,GRANT_00324
MINISTRY_OF_MSME_GOVERNMENT_OF_INDIA,GRANT_00325
MINISTRY_OF_MSME_GOVERNMENT_OF_INDIA,GRANT_00326
SWAN_SORTER_SYSTEMS_PVT_LTD,GRANT_00327
GREENERIA_PVT_LTD,GRANT_00328
AICTE,GRANT_00329
VTU,GRANT_00330
BAT_CONSERVATION_INDIA_TRUST,GRANT_00331
TATA_TECHNOLOGY,GRANT_00332
MSME,GRANT_00333
CSBCENTRAL_SILK_TECHNOLOGICAL_RESEARCH_INSTITUTE_CSBCSTRI,GRANT_00334
ISRO,GRANT_00335
ISRO,GRANT_00336
CARS,GRANT_00337
CSIR_EMR,GRANT_00338
MSMI_40,GRANT_00339
SECUREINTELI_PRIVATEMNC,GRANT_00340
MSGP,GRANT_00341
DG_ECS_DRDO,GRANT_00342
ISROURSC,GRANT_00343
INTUGINE_TECHNOLOGIES_PRIVATE_LIMITED,GRANT_00344
DST_NIDHI_PRAYAS_JIT,GRANT_00345
PREMEDAI_LABS,GRANT_00346
PREMEDAI,GRANT_00347
CASDIC_DRDO,GRANT_00348
IITI_DRISHTI_CPS_FOUNDATION,GRANT_00349
ISRO,GRANT_00350
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST,GRANT_00351
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST,GRANT_00352
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST,GRANT_00353
ANRF,GRANT_00354
ANRF,GRANT_00355
ANRF,GRANT_00356
ANRF,GRANT_00357
ANRF,GRANT_00358
ANRF,GRANT_00359
ANRF,GRANT_00360
ANRF,GRANT_00361
ANRF,GRANT_00362
ANRF,GRANT_00363
ANRF,GRANT_00364
ANRF,GRANT_00365
ANRF,GRANT_00366
ANRF,GRANT_00367
ANRF,GRANT_00368
ANRF,GRANT_00369
ANRF,GRANT_00370
ANRF,GRANT_00371
ANRF,GRANT_00372
ANRF,GRANT_00373
ANRF,GRANT_00374
ANRF,GRANT_00375
ANRF,GRANT_00376
ANRF,GRANT_00377
ANRF,GRANT_00378
ANRF,GRANT_00379
ANRF,GRANT_00380
ANRF,GRANT_00381
ANRF,GRANT_00382
ANRF,GRANT_00383
ANRF,GRANT_00384
ANRF,GRANT_00385
ANRF,GRANT_00386
ANRF,GRANT_00387
ANRF,GRANT_00388
ANRF,GRANT_00389
ANRF,GRANT_00390
ANRF,GRANT_00391
ANRF,GRANT_00392
ANRF,GRANT_00393
ANRF,GRANT_00394
ANRF,GRANT_00395
ANRF,GRANT_00396
ANRF,GRANT_00397
ANRF,GRANT_00398
ANRF,GRANT_00399
ANRF,GRANT_00400
ANRF,GRANT_00401
ANRF,GRANT_00402
ANRF,GRANT_00403
ANRF,GRANT_00404
ANRF,GRANT_00405
ANRF,GRANT_00406
ANRF,GRANT_00407
ANRF,GRANT_00408
ANRF,GRANT_00409
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST_SOURCE_DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST,GRANT_00410
ANRF,GRANT_00411
ANRF,GRANT_00412
ANRF,GRANT_00413
ANRF,GRANT_00414
ANRF,GRANT_00415
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST_GOVT_OF_INDIA_MINISTRY_OF_EDUCATION_MOE_GOVT_OF_INDIA,GRANT_00439
ANRF,GRANT_00440
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST_GOVT_OF_INDIA_MINISTRY_OF_EDUCATION_MOE_GOVT_OF_INDIA,GRANT_00441
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY,GRANT_00442
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST_GOVT_OF_INDIA,GRANT_00443
