Applicant_ID,Patent_ID
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00126
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00127
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00128
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00129
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00130
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00131
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00132
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00133
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00134
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00135
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00136
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00137
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00138
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00139
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00140
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00141
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00142
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00143
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00144
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00145
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00146
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00147
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00148
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00149
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00150
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00151
FIBROHEAL_WOUNDCARE_PVT_LTD,PAT_00151
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00152
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00153
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00154
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00155
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00156
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00157
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00158
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00159
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00160
INDIAN_INSTITUTE_OF_SCIENCE_IISC,PAT_00161
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00162
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00163
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00164
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00165
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00166
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00167
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00168
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00169
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00170
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00171
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00172
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00173
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00174
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00175
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00176
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00177
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00178
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00179
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00180
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00181
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00182
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00183
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00184
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00185
INDIAN_INSTITUTE_OF_SCIENCE_EDUCATION_AND_RESEARCH_PUNE_IISER_PUNE,PAT_00186
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00186
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00187
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00188
