Department_ID,Thesis_ID
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,428605
MATERIALS_ENGINEERING,428608
ELECTRONIC_SYSTEMS_ENGINEERING,428597
MATERIALS_ENGINEERING,428600
NANO_SCIENCE_AND_ENGINEERING,428634
MATERIALS_ENGINEERING,428640
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,429539
ELECTRICAL_ENGINEERING,426477
ELECTRONIC_SYSTEMS_ENGINEERING,426551
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,426488
AEROSPACE_ENGINEERING,431367
ELECTRONIC_SYSTEMS_ENGINEERING,431354
MATERIALS_ENGINEERING,431338
ENERGY_RESEARCH,427110
CHEMICAL_ENGINEERING,426333
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,426344
ELECTRICAL_ENGINEERING,426532
MECHANICAL_ENGINEERING,426581
MATERIALS_ENGINEERING,444754
ELECTRICAL_ENGINEERING,426541
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,426544
ELECTRICAL_ENGINEERING,428352
MECHANICAL_ENGINEERING,430148
ELECTRICAL_ENGINEERING,430150
CIVIL_ENGINEERING,430149
AEROSPACE_ENGINEERING,455135
CHEMICAL_ENGINEERING,431369
CHEMICAL_ENGINEERING,426695
CIVIL_ENGINEERING,428401
CIVIL_ENGINEERING,426776
NANO_SCIENCE_AND_ENGINEERING,426770
ELECTRONIC_SYSTEMS_ENGINEERING,427130
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,427127
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,427131
COMPUTER_SCIENCE_AND_AUTOMATION,427126
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,427132
MATERIALS_ENGINEERING,431347
NANO_SCIENCE_AND_ENGINEERING,449973
MATERIALS_ENGINEERING,429354
CIVIL_ENGINEERING,429344
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,429348
ELECTRICAL_ENGINEERING,430145
ELECTRONIC_SYSTEMS_ENGINEERING,428647
COMPUTER_SCIENCE_AND_AUTOMATION,430419
ELECTRICAL_ENGINEERING,429864
ELECTRONIC_SYSTEMS_ENGINEERING,429862
