Person_ID,Patent_ID
DIGBIJOY_NEELIM_NATH,PAT_00056
VINAYA,PAT_00057
AYAN_KUMAR,PAT_00057
STUTI_MAHESHWARI,PAT_00057
PROSENJIT_SEN,PAT_00057
PROF_S_VENUGOPAL,PAT_00058
ABHISHEK_RANADE,PAT_00058
MAYANK_CHHAPERWAL,PAT_00059
KAUSIK_MAJUMDAR,PAT_00059
HARDIK_J_PANDYA,PAT_00060
NITU_BHASKAR,PAT_00060
RASHMI_H_S,PAT_00060
KAUSHIK_LAKSHMIRAMANAN,PAT_00060
PRANAV_BINULAL,PAT_00060
ALOYSIOUS_BENOY,PAT_00060
PRAMOD_KUMAR,PAT_00061
KUNDAN_KUMAR,PAT_00061
VIJAY_BIRADAR,PAT_00061
VINOD_LAGURI,PAT_00061
PURUSHARTH_I_RAJYAGURU,PAT_00062
MANI_GARG,PAT_00062
NAYANA_V,PAT_00062
NABAJIT_DEKA,PAT_00063
MEERAN_MEHMOOD_QARI,PAT_00063
AMRIT_AMBIRAJAN,PAT_00063
SUSMITA_DASH,PAT_00063
SAMPATH_PARASURAM,PAT_00064
KRISHNA_SHANKAR,PAT_00064
SUFIYAN_SIDDIQUI,PAT_00064
RISHI_RAJ,PAT_00064
SANKEERTHANA_AVASARALA,PAT_00064
PROF_S_KUMAR,PAT_00064
PROF_SURYASARATHI_BOSE,PAT_00064
VISHNU_MAHADEVA_IYER,PAT_00065
HIMANSHU_BHUSAN_SANDHIBIGRAHA,PAT_00065
GURUNATH_GURRALA,PAT_00065
KUMAR_AJAY,PAT_00066
MAJHI_SUDHAN,PAT_00066
VISHNU_MAHADEVA_IYER,PAT_00067
HIMANSHU_BHUSAN_SANDHIBIGRAHA,PAT_00067
DAS_DEBASIS,PAT_00068
IQBAL_TABISH,PAT_00068
MURUGAN_SUBHASHINI,PAT_00068
DE_MRINMOY,PAT_00069
JAISWAL_KOMAL,PAT_00069
ROY_KOYEL,PAT_00069
VISHAL_SINGH,PAT_00070
SURJAKANTA_MAZUMDER,PAT_00071
ANIRBAN_PAL,PAT_00071
HARISYAM_PV,PAT_00071
KAUSHIK_BASU,PAT_00071
PAUL_SUNANDAN,PAT_00072
KESRI_SURAJ,PAT_00072
SINGH_VISHAL,PAT_00072
DR_KRISHNA_CHAYTHANYA_KV,PAT_00073
DR_ANURAG_KUMAR,PAT_00073
DR_RAJESH_SUNDARESAN,PAT_00073
SRISHTI_MANDAL,PAT_00074
ERIC_L_DANE,PAT_00074
SARIT_AGASTI,PAT_00074
SUDHA_KUMARI,PAT_00074
SAMPATH_PARASURAM,PAT_00075
SUPRIYA_H,PAT_00075
